Sector,Description,Sector_sub,name_sub
11,"Agriculture, Forestry, Fishing and Hunting",110000,"Agriculture, Forestry, Fishing and Hunting"
11,"Agriculture, Forestry, Fishing and Hunting",111000,Crop Production
11,"Agriculture, Forestry, Fishing and Hunting",111100,Oilseed and Grain Farming
11,"Agriculture, Forestry, Fishing and Hunting",111110,Soybean Farming
11,"Agriculture, Forestry, Fishing and Hunting",111120,Oilseed (except Soybean) Farming
11,"Agriculture, Forestry, Fishing and Hunting",111130,Dry Pea and Bean Farming
11,"Agriculture, Forestry, Fishing and Hunting",111140,Wheat Farming
11,"Agriculture, Forestry, Fishing and Hunting",111150,Corn Farming
11,"Agriculture, Forestry, Fishing and Hunting",111160,Rice Farming
11,"Agriculture, Forestry, Fishing and Hunting",111190,Other Grain Farming
11,"Agriculture, Forestry, Fishing and Hunting",111191,Oilseed and Grain Combination Farming
11,"Agriculture, Forestry, Fishing and Hunting",111199,All Other Grain Farming
11,"Agriculture, Forestry, Fishing and Hunting",111200,Vegetable and Melon Farming
11,"Agriculture, Forestry, Fishing and Hunting",111210,Vegetable and Melon Farming
11,"Agriculture, Forestry, Fishing and Hunting",111211,Potato Farming
11,"Agriculture, Forestry, Fishing and Hunting",111219,Other Vegetable (except Potato) and Melon Farming
11,"Agriculture, Forestry, Fishing and Hunting",111300,Fruit and Tree Nut Farming
11,"Agriculture, Forestry, Fishing and Hunting",111310,Orange Groves
11,"Agriculture, Forestry, Fishing and Hunting",111320,Citrus (except Orange) Groves
11,"Agriculture, Forestry, Fishing and Hunting",111330,Noncitrus Fruit and Tree Nut Farming
11,"Agriculture, Forestry, Fishing and Hunting",111331,Apple Orchards
11,"Agriculture, Forestry, Fishing and Hunting",111332,Grape Vineyards
11,"Agriculture, Forestry, Fishing and Hunting",111333,Strawberry Farming
11,"Agriculture, Forestry, Fishing and Hunting",111334,Berry (except Strawberry) Farming
11,"Agriculture, Forestry, Fishing and Hunting",111335,Tree Nut Farming
11,"Agriculture, Forestry, Fishing and Hunting",111336,Fruit and Tree Nut Combination Farming
11,"Agriculture, Forestry, Fishing and Hunting",111339,Other Noncitrus Fruit Farming
11,"Agriculture, Forestry, Fishing and Hunting",111400,"Greenhouse, Nursery, and Floriculture Production"
11,"Agriculture, Forestry, Fishing and Hunting",111410,Food Crops Grown Under Cover
11,"Agriculture, Forestry, Fishing and Hunting",111411,Mushroom Production
11,"Agriculture, Forestry, Fishing and Hunting",111419,Other Food Crops Grown Under Cover
11,"Agriculture, Forestry, Fishing and Hunting",111420,Nursery and Floriculture Production
11,"Agriculture, Forestry, Fishing and Hunting",111421,Nursery and Tree Production
11,"Agriculture, Forestry, Fishing and Hunting",111422,Floriculture Production
11,"Agriculture, Forestry, Fishing and Hunting",111900,Other Crop Farming
11,"Agriculture, Forestry, Fishing and Hunting",111910,Tobacco Farming
11,"Agriculture, Forestry, Fishing and Hunting",111920,Cotton Farming
11,"Agriculture, Forestry, Fishing and Hunting",111930,Sugarcane Farming
11,"Agriculture, Forestry, Fishing and Hunting",111940,Hay Farming
11,"Agriculture, Forestry, Fishing and Hunting",111990,All Other Crop Farming
11,"Agriculture, Forestry, Fishing and Hunting",111991,Sugar Beet Farming
11,"Agriculture, Forestry, Fishing and Hunting",111992,Peanut Farming
11,"Agriculture, Forestry, Fishing and Hunting",111998,All Other Miscellaneous Crop Farming
11,"Agriculture, Forestry, Fishing and Hunting",112000,Animal Production
